題目名稱,宗教與古蹟,藝文與文化,休閒與生態,商圈
請選出你最喜歡的一句話,沈思往事憶殘陽,讀書不覺已春深,千里鶯啼綠映紅,車如流水馬如龍
請選出你最喜歡的一句話,此地空餘黃鶴樓,緩歌慢舞凝絲竹,楊柳青青江水平,市集遊人萬業興
請選出你現在最想看到的景象,古廟依青嶂,歌聲似磬韻還幽,清泉石上流,火樹銀花合
請選出你最喜歡的一句話,靈廟肅神心,千古風流人物,風吹草低見牛羊,車馬駢溢，門館如市
請選出你現在最想看到的景象,樓閣玲瓏五雲起,半畝方塘一鑑開,處處聞啼鳥,花市燈如畫
請選出現在想看到的一個顏色,咖啡色,紫色,綠色,紅色
請選出一隻你代表的動物,烏龜,貓頭鷹,牛,鴨子
請選出最不符合你的一句話,人文歷史，說了就忘,琴棋書畫，我都還好,昆蟲動物，越遠越好,逛街shopping，經費缺少
請選出最能代表你現在的一個詞,認真,活潑,清閒,歡樂
請選出你最喜歡的一個詞,莊麗,好奇,單純,融合
請選出一項最符合你現在想去景點的描述,你可能看過,你可能知道,你可能經過,你可能吃過
請選出最符合你的一句話,與其與人互動，我寧願面壁思過,我喜歡一個人，安安靜靜，自言自語,我喜歡和一群群體互動，可能是人，可能是動物,我喜歡與人互動，肩並肩才是好感情
請選出最符合你的一句話,我放任自己徜徉書海，體驗過往種種,我願隨著想像，乘風破浪,我享受陽光，不被冷氣綁架,我喜歡交談，願意social
請選出一項你最喜歡的物品,雕像,樂高,雨傘,滷味
請選出你最喜歡的一個成語,知書達禮,風度翩翩,鳥語花香,熙來攘往
請憑感覺選出你適合的地方,ㄗㄐㄍㄐ,ㄧㄨㄨㄏ,ㄒㄒㄕㄊ,ㄕㄑㄕㄑ
當只能帶一項東西去荒島，你會...,帶護身符,帶一張CD,帶寵物,帶錢
當你中了樂透頭獎，你會...,建自己的紀念館,捐給母校,開個牧場,買爆百貨公司
當你起床發現世界只剩你一個人，你會...,改寫歷史課本,在路上隨意作畫,隨處走走晃晃,到麵包店拿東西吃
當養了一隻會說話的狗，你會...,讓牠陪你上班、上課,教牠唱歌,把牠當一般的狗,讓牠去當服務生，賺零用錢