行政區,主題,景點名稱,簡介,地址,門票,開放時間-一,開放時間-二,開放時間-三,開放時間-四,開放時間-五,開放時間-六,開放時間-日
北投,宗教與古蹟,北投文物館,北投文物館建於１９２１年。當時係北投地區最高級的「佳山溫泉旅館」。現存有臺灣原住民族文物一千餘件，以及以閩、客為主的漢民族文物共三千餘件。,臺北市北投區幽雅路32號,120,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00
北投,宗教與古蹟,關渡宮,台北市關渡宮擁有三百多年歷史，主祀天上聖母媽祖，是北台灣地區最早的媽祖廟，而除了參拜天上聖母媽祖與諸神明外，來到這裡還可以觀賞許多珍貴的古蹟文物以及豐富的宮廟建築藝術。,臺北市北投區知行路360號,無,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00
北投,宗教與古蹟,農禪寺,農禪寺位於台北市大業路附近，以水月道場及金剛經牆聞名，大殿簡約隆重，前面的水池在不同光影下，能倒映出不同的景色，正呼應當初「空中花，水中月」的設計構想，一旁則留有開山農舍及入慈悲門等歷史建築。,臺北市北投區大業路65巷89號,無,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,宗教與古蹟,北投溫泉博物館,這座早在日據時代就享有盛名的溫泉公共浴場，有著英國都鐸時期的鄉村建築風格，沉穩的紅色磚牆與黑色的瓦與綠蔭相稱，搭配著空氣中淡淡的溫泉味，昔日的氤氳時光，彷彿就在眼前重現。,臺北市北投區中山路二號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,宗教與古蹟,新北投車站,新北投車站為舊台鐵北淡線僅存的百年車站，廢線之後站體曾被遷移至彰化的台灣民俗村，於２０１７年運回新北投原址附近重新開幕，為日治時期留存之木造建築中，少數採用哥德式構架者。,臺北市北投區七星街1號,無,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30
北投,宗教與古蹟,前日軍衛戍醫院北投分院,日軍衛戍醫院北投分院為日據初期利用北投溫泉所建之軍用療養所，其大型日式建築物現況完整，正門依然保有當年的氣派，前後廊亦為其主要特色，周圍庭院寬廣，古木參天，整體環境保存良好。,臺北市北投區中心街1號,50,不開放,13:30 – 16:30,13:30 – 16:30,13:30 – 16:30,13:30 – 16:30,09:00 – 12:00,09:00 – 12:00
北投,宗教與古蹟,北投神社原址,現為凱達格蘭文化館，內設原住民歷史相關文化展覽。而北投神社原址已無痕跡，仍有?犬一對，在北投逸仙國小。,臺北市北投區中山路3-1號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,休閒與生態,關渡自然公園,關渡自然公園位處淡水河及基隆河的交會口，自古以來，即是重要的候鳥棲地，園方經常舉辦濕地環境教育活動展示如主題特展、假日講座、親子ＤＩＹ教室、營隊等。除了保持濕地自然環境之外，也提供市民及遊客體驗自然、假日休閒的好去處。,臺北市北投區關渡路55號,60,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,休閒與生態,地熱谷,地熱谷位在北投溫泉公園旁邊，是北投溫泉的源頭之一，因為終年瀰漫著硫磺煙霧，讓人聯想到恐怖的地獄，所以又被稱為「地獄谷」或「鬼湖」。,臺北市北投區溫泉路,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,休閒與生態,小油坑,小油坑為一處後火山活動地質景觀區，以「後火山作用」所形成之噴氣孔、硫磺結晶、溫泉及壯觀的崩塌地形最具特色。除此之外，這裡的眺望平台還可遠眺竹子山、大屯山、七星山與小觀音山等火山錐體。,臺北市北投區竹子湖路69號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,北投露天溫泉,北投露天溫泉又稱作「千禧湯」，園區泉水源頭來自地熱谷，屬於一般人俗稱的青磺泉，現場有公告泡湯守則，而且有入池要穿泳裝，淋浴後再入池的規定。這裡每天開放六個場次，時間跟相關資訊可上公園處網站查詢。,臺北市北投區中山路6號,40,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00
北投,休閒與生態,關渡自行車道,穿越關渡平原的自行車道，沿途保留了都會臺北極其珍貴的稻香田園，連結起河口紅樹林自然保護區，能夠體會早年農村氛圍的樸素簡單、踏實自在。,臺北市北投區,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,竹子湖,竹子湖位於陽明山國家公園核心區。兩百年前漢人初到此地開墾時，因見土地泥濘且遍地竹林，於是稱此為竹子湖。海芋季期間（２／２７至４／１７），及五月下旬盛開的紫藍色繡球花，相當適合拍照留念。,臺北市北投區竹子湖路52號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,洲美蜆仔港公園,洲美蜆仔港公園，是一座兼顧滯洪、休憩與生態的濕地公園，園區可一邊欣賞河道之草澤溼地生態，並可遠眺七星山及大屯山系之壯麗山形，公園設施含賞景曲徑、親水平台、人行拱橋、休憩廊架、賞遊散步環道等設施。,臺北市北投區承德路六段329號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,軍艦岩,軍艦岩為大屯山系的著名山嶺，嶺上突出的巨岩聳立在層層山巒間，乍看之下如同海上艦艇，因此得名軍艦岩。自頂上向右眺望可欣賞士林到北投的稜線、地景風光。,臺北市北投區陽明大學「動物中心」東側步行約50分鐘抵登山口,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,湖山國小,位在陽明山內的湖山國小，具得天獨厚的自然生態，以擁有溫泉泡腳池聞名，加上樹屋、沙坑、磨石溜滑梯等純樸遊具特色遊戲場，使得湖山國小成為親近自然、找悠閒的好去處。,臺北市北投區湖底路11號,無,不開放,不開放,不開放,不開放,不開放,09:00 – 17:00,09:00 – 17:00
北投,休閒與生態,貴子坑親山步道,貴子坑是個有特殊地質景觀的小山谷、五指山層的古老地層。早期因開採過度，導致水土失衡，因此當時被稱『鬼子坑』。經整治規劃，現在貴子坑區擁有露營場、水土保持教學園區及環山步道，是一座最佳的戶外地質教室。,臺北市北投區秀山路159巷,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,關渡碼頭,關渡碼頭位於關渡自然公園及關渡宮旁，每當假日或夜晚均可見遊客駐足關渡碼頭週邊散步，亦有許多單車族由八里經關渡大橋前來，或由淡水前來，沿途風光明媚，是一處極佳的賞景地點。,臺北市北投區關渡碼頭,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,臺北藝術大學,台北藝術大學擁有俯瞰關渡平原的遼闊視野，獨樹一格的校內建築，沿坡而上，校舍則採紅磚、灰牆與黑瓦屋頂，並加上裝飾的線條，隨處可見的裝置藝術品打造出特殊的風格意象，每個角落都可以看到藝術在生活中的流動痕跡。,臺北市北投區學園路1號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,商圈,北投市場,北投中央市場主體建築有兩層樓，歷史悠久，具寬闊的賣場空間，進駐各類攤商，青菜蔬果齊全，南北雜貨便宜，鮮蚵、米糕及滷肉飯等小吃都非常出名，獨有的飲茶文化更是一絕。北投市場不僅是台北市最大的公有市場，也是北投人的生活中心。,臺北市北投區新市街30號,無,不開放,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00
北投,商圈,石牌商圈,商圈範圍大致上為石牌路二段與裕民六路之間，有許多美食小吃，十分熱鬧，為石牌人重要的生活區域。,臺北市北投區石牌路二段90巷20號,無,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00
北投,商圈,ＢＡＤOU新北投文創天地,台灣唯一以溫泉為主題，提供美食、美學、美藝三大特點，串連北投在地文化的商店街，除了有知名美食、文創商品和伴手禮之外，還有每月主題活動、街頭藝人表演，想體驗不一樣的新北投之旅，先來看看這裡有什麼吧,臺北市北投區七星街2號,無,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30
北投,商圈,新北投攤販集中場(復興市場),據有歷史的傳統菜市場，是新北投居民採購新鮮食材的好選擇,臺北市北投區復興四路8巷,無,不開放,06:00 – 14:00,06:00 – 14:00,06:00 – 14:00,06:00 – 14:00,06:00 – 14:00,06:00 – 14:00
北投,藝文與文化,北投圖書館,臺北市立圖書館北投分館是臺灣首座綠建築圖書館，室內書香，戶外鳥語，相映成趣。座落於在綠意盎然的北投公園內，讓閱讀成了一件愜意、享受的活動。,臺北市北投區光明路251號,無,09:00 – 17:00,08:30 – 21:00,08:30 – 21:00,08:30 – 21:00,08:30 – 21:00,08:30 – 21:00,09:00 – 17:00
北投,藝文與文化,北投文物館,北投文物館建於１９２１年。當時係北投地區最高級的「佳山溫泉旅館」。現存有臺灣原住民族文物一千餘件，以及以閩、客為主的漢民族文物共三千餘件。,臺北市北投區幽雅路32號,120,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00
北投,藝文與文化,北投溫泉博物館,這座早在日據時代就享有盛名的溫泉公共浴場，有著英國都鐸時期的鄉村建築風格，沉穩的紅色磚牆與黑色的瓦與綠蔭相稱，搭配著空氣中淡淡的溫泉味，昔日的氤氳時光，彷彿就在眼前重現。,臺北市北投區中山路二號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,藝文與文化,新北投車站,新北投車站為舊台鐵北淡線僅存的百年車站，廢線之後站體曾被遷移至彰化的台灣民俗村，於２０１７年運回新北投原址附近重新開幕，為日治時期留存之木造建築中，少數採用哥德式構架者。,臺北市北投區七星街1號,無,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30
北投,藝文與文化,前日軍衛戍醫院北投分院,日軍衛戍醫院北投分院為日據初期利用北投溫泉所建之軍用療養所，其大型日式建築物現況完整，正門依然保有當年的氣派，前後廊亦為其主要特色，周圍庭院寬廣，古木參天，整體環境保存良好。,臺北市北投區中心街1號,50,不開放,13:30 – 16:30,13:30 – 16:30,13:30 – 16:30,13:30 – 16:30,09:00 – 12:00,09:00 – 12:00
北投,藝文與文化,中心新村,中心新村是台北市唯一完整保存的眷村，位於新北投山麓，具有溫泉公共浴室，國民政府來台，成立北投療養所與陸軍醫院，醫院裡的軍醫與相關員工與眷屬就在此居住，形成了特別的眷村聚落文化。,臺北市北投區新民路46巷37號,無,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00
北投,藝文與文化,梅庭,梅庭建於１９３０年代末，曾是「一代草聖」于右任先生的避暑別館，現為市定歷史性建築。建物格式特殊並保有日式木構架建築風格。,臺北市北投區中山路6號,無,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,藝文與文化,陽明書屋,原名中興賓館的「陽明書屋」，昔為先總統蔣公接待國內外貴賓及夏日避暑之處，係蔣公在台唯一親自擇定興建的行館；今日則成為陽明山國家公園重要人文史蹟建物之一。,臺北市北投區陽明山中興路12號,80,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30
北投,藝文與文化,臺北藝術大學,台北藝術大學擁有俯瞰關渡平原的遼闊視野，獨樹一格的校內建築，沿坡而上，校舍則採紅磚、灰牆與黑瓦屋頂，並加上裝飾的線條，隨處可見的裝置藝術品打造出特殊的風格意象，每個角落都可以看到藝術在生活中的流動痕跡。,臺北市北投區學園路1號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,藝文與文化,少帥禪園—張學良幽禁舊居,１９５７年起張學良夫婦到台北就醫、辦事，被安排居住於少帥禪園現址，當時稱為「幽雅招待所」隸屬於情報局。建於１９２０年代，原名「新高旅社」在北投溫泉區頗有盛名，曾被日軍當做神風特攻隊出戰前夕的慰安處所。,臺北市北投區幽雅路34號,200,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00
士林,宗教與古蹟,士林官邸,士林官邸有精緻的庭園造景設計，融合西式庭園中浪漫美好的風光與中式庭園裡的拱橋、曲池、流水等東方庭園造景。因其優越的地勢而曾經作為蔣故總統官邸。,臺北市士林區福林路60號,100,不開放,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00
士林,宗教與古蹟,國立故宮博物院,國立故宮博物院為中國宮殿式的建築，藏有全世界最多的中華藝術寶藏，數量達６５萬多件，幾乎涵蓋了整部五千年的中國歷史，因此擁有「中華文化寶庫」的美名。,臺北市士林區至善路二段221號,350,08:30 – 18:30,08:30 – 18:30,08:30 – 18:30,08:30 – 18:30,08:30 – 21:00,08:30 – 21:00,08:30 – 18:30
士林,宗教與古蹟,士林官邸,士林官邸有精緻的庭園造景設計，融合西式庭園中浪漫美好的風光與中式庭園裡的拱橋、曲池、流水等東方庭園造景。因其優越的地勢而曾經作為蔣故總統官邸。,臺北市士林區福林路60號,100,不開放,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00,09:30 – 12:00；13:30 – 17:00
士林,宗教與古蹟,林語堂故居,１９６６年林先生返臺定居，這座洋房由他親自設計，結合中國四合院與西方美學建築，藍瓦白牆，拱門迴廊，融合現代感觀及古典之美。,臺北市士林區仰德大道2段141號,30,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
士林,宗教與古蹟,錢穆故居,「素書樓」為國學大師錢穆先生生前居所。為紀念母親生養之恩，錢先生以無錫七房橋五世同堂故居裡，母親居所之「素書堂」作為隱居終老處所之名。樓庭院內的一磚一石、一草一木都是主人多年的心血。,臺北市士林區臨溪路72號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
士林,宗教與古蹟,士林神農宮,士林神農宮本來名為「芝蘭廟」，是奉祀土地公福德正神的廟宇。士林居民在乾隆年間為福德正神重修寺廟時，在屋頂採用了帝王等級的神祇才能使用的燕尾樣式，因此增加奉祀具有帝王位階的神農大帝作為主神。,臺北市士林區舊佳里前街74號,無,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00
士林,宗教與古蹟,慈諴宮,慈諴宮又稱士林媽祖廟，主祀天上聖母，位於遠近馳名的士林夜市之內。為一座採兩殿、兩廊、兩護龍平面配置的廟宇，一共形成５個天井，兩殿之間以過水廊連接護龍，為典型殿堂式閩南式廟宇。,臺北市士林區大南路84號,無,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00
士林,宗教與古蹟,圓山水神社,圓山水神社為一座日據時期遺留下來的神社，其留有最初建造時的石燈籠、社名碑、淨手池，及一對鎮守神社的?犬。儘管圓山水神社只與士林商圈相隔一條路，但卻是一片靜謐之地，散發出古樸、神秘而自在的氛圍。,臺北市士林區中山北路5段82號之1,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
士林,宗教與古蹟,天母白屋,國民政府為了安頓美軍在臺生活，在士林地區興建許多高級宿舍，使美軍人員有完善的生活環境，天母白屋是碩果僅存的一棟。這些宿舍外牆為雨淋板、黑色屋瓦，內設有壁爐、外露石壁龕且設有庭院，兼具美式、日式的建築風格。,臺北市士林區中山北路7段181巷23號,無,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,
士林,休閒與生態,芝山文化生態綠園,芝山岩展示館結合芝山的自然生態及地質景觀，展示地層模型、全區模型與陶器復原模型的演變過程。周圍被自然景觀步道所圍繞，山稜線有非常豐富的生態及地質景觀，是一個擁有豐富人文歷史與自然資源的小山丘。,臺北市士林區雨聲街120號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
士林,休閒與生態,圓山水神社,圓山水神社為一座日據時期遺留下來的神社，其留有最初建造時的石燈籠、社名碑、淨手池，及一對鎮守神社的?犬。儘管圓山水神社只與士林商圈相隔一條路，但卻是一片靜謐之地，散發出古樸、神秘而自在的氛圍。,臺北市士林區中山北路5段82號之1,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
士林,休閒與生態,花卉試驗中心,花卉試驗中心栽培及試驗各式各樣百般不同的花種，有台北後花園之稱。主園區佔地廣闊，因為鄰近陽明山國家公園，所以會常時態的配合陽明山花季的活動，是家人、親子休閒活動賞花的好去處。,臺北市士林區仰德大道4段175巷32號,無,08:00 – 17:00,08:00 – 17:00,08:00 – 17:00,08:00 – 17:00,08:00 – 17:00,08:00 – 17:00,08:00 – 17:00
士林,休閒與生態,臺北市立兒童新樂園,兒童新樂園內有１３項遊樂設施、多元化室內親子遊戲空間(免費遊戲區、球池及投幣式遊戲機)及兒童劇團負責的兒童劇場。園區結合悠遊卡的消費模式，持悠遊卡即可驗票入園、搭乘遊樂設施及園內部分商店消費。,臺北市士林區承德路五段55號,30,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 20:00,09:00 – 18:00
士林,休閒與生態,雙溪公園,雙溪公園座落在至善路和福林路相交的三角地帶，公園於民國６３年闢建，面積約２公頃，雙溪顧名思義是因為有兩條溪水匯聚形成，園內處處表達了江南景觀之美，景致古色古香、花團錦簇美不勝收，這裡也經常成為新人拍攝婚紗取景的地點。,臺北市士林區福林路307號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
士林,休閒與生態,天母古道親山步道,天母水管路是日治時期所開闢的運水路，為引取陽明山湧泉，在此地鋪設水管供給至天母地區，並於沿途設置便道。由天母出發先須爬行１３００階梯，後面則為平坦的森林浴步道，在此體驗自然的寧靜與原始，了解天母古道的種種文化歷史面貌。,臺北市士林區中山北路7段232巷,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
士林,休閒與生態,擎天崗草原,擎天崗大草原又稱太陽谷，鄰近七星山、冷水坑、涓絲瀑布；因為有廣闊柔軟的草地，還可以看到許多野生牛隻，因此成為很多都市人假日踏青的好去處，更被票選為十大野餐聖地之一。,臺北市士林區菁山路101巷246 號,無,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30,09:00 – 16:30
士林,商圈,士林觀光夜市,士林夜市是臺北市範圍最大的夜市，也是國外觀光客造訪臺北必到的觀光夜市。佔地十分寬廣，可分為兩個主要範圍，一個是傳統陽明戲院周邊的街道，包括大南路慈諴宮一帶；另一邊則是基河路１０１號重新營運的士林市場。,臺北市士林區大東路、大南路、文林路、基河路間與週邊,無,15:00 – 01:00,15:00 – 01:00,15:00 – 01:00,15:00 – 01:00,15:00 – 01:00,15:00 – 01:00,15:00 – 01:00
士林,商圈,大葉高島屋,台灣第一座新都會大型百貨公司，擁有全台第一座位於百貨公司內的大型水族館，並備有２０００ 個停車位。位於天母忠誠路與士東路口，以郊區型新優樂生活百貨公司為目標，提供消費者舒適、悠閒、寬敞的購物空間,臺北市士林區忠誠路二段55號,無,11:00 – 21:30,11:00 – 21:30,11:00 – 21:30,11:00 – 21:30,11:00 – 21:30,11:00 – 22:00,11:00 – 21:30
士林,商圈,士東市場,士東市場所販賣的東西有一定的品質，內部乾淨，沒有一般傳統市場的潮濕和魚肉的味道，加上有地下停車場，在時常下雨的北部算是採買食材的好地方，而且還有人情溫度，可感受到臺北這個城市獨特的味道，更反映了在地生活的日常百態。,臺北市士林區士東路100號,無,不開放,07:30 – 21:00,07:30 – 21:00,07:30 – 21:00,07:30 – 21:00,07:30 – 21:00,07:30 – 21:00
士林,商圈,天母創意市集,每週五、週六、週日三天在天母圓環這邊有熱鬧的二手市集，若是有空可以來這邊逛逛、挖寶，或是可以在線上系統報名來擺攤，出清自己不常用到的東西，讓需要的人可以重新再利用。,臺北市士林區天母西路中山北路七段,無,不開放,不開放,不開放,不開放,16:00 – 22:00,09:00 – 22:00,15:00 – 21:00
士林,商圈,天母商圈,天母屬於一完整機能社區，商圈內駐遠東ＳＯＧＯ、新光三越和大葉高島屋，也是美軍基地、大使館特區以及美國、歐洲、日韓學校的所在地，擁有各國美食與文化。,臺北市士林區中山北路五段過福林橋開始,無,11:00 – 21:30,11:00 – 21:30,11:00 – 21:30,11:00 – 21:30,11:00 – 21:30,11:00 – 22:00,11:00 – 21:30
士林,藝文與文化,國立故宮博物院,國立故宮博物院為中國宮殿式的建築，藏有全世界最多的中華藝術寶藏，數量達６５萬多件，幾乎涵蓋了整部五千年的中國歷史，因此擁有「中華文化寶庫」的美名。,臺北市士林區至善路二段221號,350,08:30 – 18:30,08:30 – 18:30,08:30 – 18:30,08:30 – 18:30,08:30 – 21:00,08:30 – 21:00,08:30 – 18:30
士林,藝文與文化,郭元益糕餅博物館,臺灣第一座糕餅博物館，陳列「糕餅世家」百年來的歷史，並介紹臺灣傳統糕餅業的演進以及臺灣傳統婚喪喜慶的禮俗，藉此讓世人對臺灣傳統糕餅有更深的認識及瞭解。,臺北市士林區文林路546號4樓,50,09:00 – 17:30,09:00 – 17:30,09:00 – 17:30,09:00 – 17:30,09:00 – 17:30,09:00 – 17:30,09:00 – 17:30
士林,藝文與文化,順益臺灣原住民博物館,國內第一座以原住民為主題的私人博物館。博物館內的典藏文物共有４個主題，詳敘臺灣原住民各族的分佈區域，以及建築、工藝、狩獵器具……等傳統日常生活物件的介紹，還有各族美麗的傳統服飾，與原住民族最重要的祖靈信仰。,臺北市士林區至善路2段282號,150,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
士林,藝文與文化,臺北市立天文科學教育館,天文科學教育館的展場１樓有古代天文學區、地球區、太空科技區；２樓有天球與星座區、太陽系區、望遠鏡與天文臺區；３樓有恆星區、星系區、宇宙論區，並提供ＰＤＡ無線導覽服務。半圓形的全天域劇院為東南亞最大的宇宙劇場。,臺北市士林區基河路363號,40,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 21:00,09:00 – 17:00
士林,藝文與文化,國立臺灣科學教育館,"臺灣科學教育館，地下室為兒童益智探索館； ３, ４樓有生命科學、自然科學展；５, ６樓有物質科學、數學與地球科學展；７, ８樓為特展，可以看到世界性的科學展覽。館內設有各種體驗裝置，可與展品互動。",臺北市士林區士商路189號,100,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 20:00,09:00 – 18:00
士林,藝文與文化,林語堂故居,１９６６年林先生返臺定居，這座洋房由他親自設計，結合中國四合院與西方美學建築，藍瓦白牆，拱門迴廊，融合現代感觀及古典之美。,臺北市士林區仰德大道2段141號,30,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
士林,藝文與文化,芝山文化生態綠園,芝山岩展示館結合芝山的自然生態及地質景觀，展示地層模型、全區模型與陶器復原模型的演變過程。周圍被自然景觀步道所圍繞，山稜線有非常豐富的生態及地質景觀，是一個擁有豐富人文歷史與自然資源的小山丘。,臺北市士林區雨聲街120號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
大同,宗教與古蹟,陳天來故居,本宅創建者陳天來先生為臺北茶葉發展過程重要人物，且陳氏家族人才輩出，在近代臺灣政治、經貿及文化史上有其顯著貢獻和代表性地位，此建物為臺北茶葉發展史、貴德街茶行史及臺北建築史之重要紀錄。,臺北市大同區貴德街73號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
