行政區,主題,景點名稱,簡介,地址,門票,開放時間-一,開放時間-二,開放時間-三,開放時間-四,開放時間-五,開放時間-六,開放時間-日
大同,宗教與古蹟,URS44大稻埕故事工坊,大稻埕故事工坊裡除了介紹有大稻埕的一段歷史，還是政府「都市再生前進基地（ＵＲＳ）計畫」實行對象之一，希望在舊有的建築、文化、歷史故事的輪廓中，增添創新概念，並與在地產業、環境做結合，打造出新興且富歷史價值意義的創新未來。,臺北市大同區迪化街一段44號,無,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00
大同,宗教與古蹟,大龍峒保安宮,大龍峒保安宮，主祀保生大帝，俗稱「大浪泵宮」或「大道公廟」，為市定古蹟。保安宮興建時，聘請郭塔及陳應彬兩位匠師，將建築分成兩半，以各自創作的方式塑造良性競爭，因此欣賞保安宮的裝飾藝術時，可同時欣賞左右兩邊不同匠師的作品。,臺北市大同區哈密街61號,無,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00,06:00 – 22:00
大同,宗教與古蹟,文昌祠,在日據時期，大龍峒人建立「樹人書院文昌祠」，每當考季來臨時，考生往往將准考證和供品擺放上桌，祈求上榜。文昌祠見證大龍峒的教育史，與大龍峒公學校有共同的文教淵源，不但是該地區重要的歷史古蹟，也見證著先人傳世傳家的文教之風。,臺北市大同區迪化街2段364巷14號,無,06:00 – 18:00,不開放,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00
大同,宗教與古蹟,臺灣新文化運動紀念館,臺灣新文化運動紀念館積極收藏與展覽新文化運動的史料，並對大稻埕相關的珍貴文化資產，進行各種整合與活化工作，考據重要歷史人物的活動據點與故居，串聯成文化歷史步道，讓大稻埕成為一個開放的文化史生態博物館。,臺北市大同區寧夏路87號,無,不開放,09:30 – 17:30,09:30 – 17:30,09:30 – 17:30,09:30 – 17:30,09:30 – 17:30,09:30 – 17:30
大同,宗教與古蹟,建成圓環,建成圓環含「１９０８年圓公園時期」、「１９４３年二戰時期」、「１９５０年圓環鼎盛時期」、「２００３年建成圓環美食館」的歷史，利用陰刻地坪、古蹟保護牆、座椅牆、玻璃導覽牌等設施，暗示各時期建成圓環範圍，感受圓環的歷史變遷。,臺北市大同區重慶北路1段與南京西路交叉路口,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
大同,休閒與生態,蔣渭水紀念公園,臺北市政府為紀念蔣渭水先生，將鄰近之錦西公園更名為「蔣渭水紀念公園」。蔣渭水先生為臺灣民主鬥士及文化先鋒，一生事蹟多發生於大稻埕地區，如創設大安醫院、創立文化協會及成立民報總批發處等。,臺北市大同區錦西街51號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
大同,休閒與生態,延平河濱公園,能夠觀賞河濱美景、落日、飛機起降，水利局曾種植７萬植株，讓公園變得色彩繽紛，適合家庭野餐、騎腳踏車。另外還有ＩＧ熱門打卡地點「ＴＡＩＰＥＩ」。,臺北市大同區延平北路四段203號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
大同,休閒與生態,玉泉公園,有一座與喬木結合的木平台，導入樹屋概念，提供樹木生長空間的同時，提供民眾親近植物與教育解說的機會。黑板樹蔭下人行步道增設距離標示，利使用者計算運動距離。苦楝、臺灣欒樹、流蘇、蒲葵、緬梔與榕樹各種喬木與多種灌木的複層栽植。,臺北市大同區西寧北路28號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
大同,休閒與生態,玉泉公園游泳池,玉泉公園游泳池是一溫水游泳池，包含按摩池、烤箱、蒸氣室以及室內滑水道，是市中心少數的平價游泳池，並且注重水質和衛生環境。另外平日有３位救生員，而假日會增加至５-６名。,臺北市大同區西寧北路28號,無,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00
大同,休閒與生態,朝陽茶葉公園,朝陽茶葉公園原址為大稻埕的茶寮倉庫，茶商將所買進的毛茶存放於此，再進行精製。９２年都市重建後將這裡規畫為臺北市第一個茶葉主題公園，園內花崗步道上雕刻著精細的製茶流程圖，兩排也有數家茶行作為延伸景點。,臺北市大同區重慶北路二段70巷,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
大同,休閒與生態,迪化運動公園跨堤景觀平臺,迪化運動公園跨堤景觀平臺為臺北市第二座景觀平臺。景觀平臺延伸橫跨環河北路至堤外，提供絕佳視野，從平臺可盡覽淡水河風光，亦可欣賞大稻埕碼頭煙火秀，除此之外，景觀平臺內提供如親子活動景觀戲水設施、活動舞台區等。,臺北市大同區環河北路二段,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
大同,商圈,寧夏觀光夜市,近期以「千歲宴」打響國際名聲，且獲得眾多美食雜誌和網路爭相報導的寧夏夜市，以臺灣傳統小吃為主；夜市首先將人車分道，方便民眾吃飯與購物，貼心的服務，也是吸引大家來這裡消費的原因。,臺北市大同區寧夏路(位於南京西路與民生西路間),無,17:00 – 01:00,17:00 – 01:00,17:00 – 01:00,17:00 – 01:00,17:00 – 01:00,17:00 – 01:00,17:00 – 01:00
大同,商圈,PＩＥR5大稻埕河岸特區,之前信義區的貨櫃市集ＣＯＭＭＵＮＥ Ａ７結束之後，貨櫃市集重新在大稻埕碼頭開張，大約有九個商家，其中三家是餐車的形式出現，假日的時候還會有樂團在這裡表演。,臺北市大同區民生西路底,無,15:00 – 22:00,15:00 – 22:00,15:00 – 22:00,15:00 – 22:00,15:00 – 22:00,11:00 – 22:00,11:00 – 22:00
大同,商圈,迪化街年貨大街,迪化街以辦年貨聞名，是從清末到日據初期以來臺灣國際貿易與商業的發展地，以南北雜貨、茶行、中藥和布匹批發商為主。 ２００８年政府將迪化商圈擴大，讓商家及商品更加多元化，使迪化街有更多的選擇。,臺北市大同區迪化街,無,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00
大同,商圈,延三觀光夜市,因位處於臺北橋旁，早期有人稱為「大橋頭夜市」、「臺北橋夜市」，攤位分布在兩側道路上，雖然延平北路上車輛往來頻繁，但因為在這裡有許多經營三、四十年以上的傳統美食小吃，使延三夜市依舊為許多老台北人的首選。,臺北市大同區延平北路三段 (位於民權西路與民族西路間),無,18:00 – 00:00,18:00 – 00:00,18:00 – 00:00,18:00 – 00:00,18:00 – 00:00,18:00 – 00:00,18:00 – 00:00
大同,商圈,永樂布業商場,永樂市場是全臺的大型布市，這裡有各種花色的紡織品，不管是本地的或進口的，總是能夠滿足不同消費者的需求，而旁邊巷弄裡各種衣物周邊零件、配件、蕾絲、繡花也一應俱全，吸引著許多時尚設計、表演藝術的創作者來此尋寶。,臺北市大同區迪化街1段21號,無,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,不開放
大同,商圈,甘州街-茶葉街,甘州街俗稱茶葉街，在大稻埕的茶葉歷史上佔了很重要的地位，是茶葉發展開拓的重要功臣。現在甘州街雖然沒落，但是還有５、６家茶行，循著傳統的製茶技術，有著道地的茶文化，讓茶泡起來更加的清香及回味。,臺北市大同區甘州街5號,無,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00
大同,藝文與文化,阿嬤家-和平與女性人權館,由婦女救援基金會在２０１６年所創立，收錄了臺灣５９位「慰安婦」阿嬤們經過苦難淬煉後的生命故事。是臺灣首座以「慰安婦」人權運動為基礎，集結當代女性人權議題展示及婦女培力的多功能社會教育基地。,臺北市大同區迪化街一段256號,無,不開放,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00
大同,藝文與文化,大稻埕戲苑,大稻埕戲苑，座落於永樂市場８、９樓，以演出、推廣、保存傳統戲曲為宗旨，九樓劇場辦理各項傳統戲曲如歌仔戲、京劇、南管、北管、客家戲、說唱…等演出，八樓曲藝場則規劃常態性布袋戲、南管、說唱節目。,臺北市大同區迪化街一段21號,無,不開放,09:00 – 22:00,09:00 – 22:00,09:00 – 22:00,09:00 – 22:00,09:00 – 22:00,09:00 – 22:00
大同,藝文與文化,台原亞洲偶戲博物館,館內除了收藏臺灣的偶戲外，也有來自不同國度、不同風味的戲偶，共珍藏了５０００多件偶戲珍品，內有雕刻工坊、ＤＩＹ教室、偶戲特展室、精品典藏空間，以及適合各類專業演出的納豆劇場（表演廳），讓民眾進一步了解偶戲文化。,臺北市大同區西寧北路79號,無,不開放,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00
大同,藝文與文化,台北當代藝術館,台北當代藝術館將藝術、古蹟、科技三者做了巧妙的結合，辦理多檔精采絕倫且豐富多元的當代藝術展覽，成為了台北市藝文發展的重要據點，並且提供了互動性且整合度強的展覽平台，開拓出極具前瞻性與創意的新文化思維。,臺北市大同區長安西路39號,50,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00
大同,藝文與文化,陳天來故居,本宅創建者陳天來先生為臺北茶葉發展過程重要人物，且陳氏家族人才輩出，在近代臺灣政治、經貿及文化史上有其顯著貢獻和代表性地位，此建物為臺北茶葉發展史、貴德街茶行史及臺北建築史之重要紀錄。,臺北市大同區貴德街73號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
大同,藝文與文化,URS44大稻埕故事工坊,大稻埕故事工坊裡除了介紹有大稻埕的一段歷史，還是政府「都市再生前進基地（ＵＲＳ）計畫」實行對象之一，希望在舊有的建築、文化、歷史故事的輪廓中，增添創新概念，並與在地產業、環境做結合，打造出新興且富歷史價值意義的創新未來。,臺北市大同區迪化街一段44號,無,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00
中山,宗教與古蹟,太原五百完人紀念建築群,"「太原五百完人紀念建築群」紀念碑、紀念堂及招魂塚以軸線依山勢而建，建物設計之水準頗高，包括牌坊、紀念碑、紀念堂、招魂塚、碑等。
",臺北市中山區中山北路四段11巷,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
中山,宗教與古蹟,臺北啤酒工廠(原建國啤酒廠),臺北啤酒工廠，前身為日據時期「高砂麥酒株式會社」，目前由臺北市都市發展局接手，要將啤酒廠規劃成一座以啤酒為主題，結合餐飲、娛樂等新元素的啤酒文化園區，讓民眾體驗製作啤酒的樂趣。,臺北市中山區八德路2段85號,無,08:00 – 16:30,08:00 – 16:30,08:00 – 16:30,08:00 – 16:30,08:00 – 16:30,不開放,不開放
中山,宗教與古蹟,劍潭古寺,推算劍潭古寺的年代，至今應該有３５０年以上的歷史，但日據後期遷建至大直現址。入廟前有一牌樓，青綠色的瓦頂下寫著「劍潭古寺」４字，裡面的小巷道，就是劍潭古寺的原址，在這一片林園當中，園內保留著劍潭古寺舊有的廟柱及石碑。,臺北市中山區北安路805巷6號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
中山,宗教與古蹟,林安泰古厝民俗文物館,林安泰古厝初建於１７８３年，至今已有２００多年的歷史。這棟傳統閩南風格的單層２進４合院，是依照民間地理風水習俗而建造的。古厝前的月眉池，造型正如其名，在中國風水中，屬於聚寶收納的型制，替古厝環境生色不少。,臺北市中山區濱江街5號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
中山,宗教與古蹟,台北故事館,台北故事館，為仿英國都鐸時期的半木構造建築，是台灣罕見的建築形式。目前以食、衣、住、行、娛樂為主軸，策劃相關主題展覽及藝文活動、推廣茶文化，持續在「台北故事館」說故事。,臺北市中山區中山北路三段181之1號,無,不開放,10:00 – 17:30,10:00 – 17:30,10:00 – 17:30,10:00 – 17:30,10:00 – 17:30,10:00 – 17:30
中山,宗教與古蹟,中山基督長老教會,中山基督長老教會，原為日本基督教聖公會教堂，稱為大正町教會，供當時住在大正街一帶日本人教徒禮拜之用。外觀仿英國歌德式教堂設計，從高處往下看，可看見教堂屋頂呈十字架形狀、尖拱、屋架轉角石與扶壁等，保存完整，具有建築價值。,臺北市中山區?林森北路62號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
中山,宗教與古蹟,蔡瑞月舞蹈研究社,蔡瑞月舞蹈研究社是具有歷史性的建築，是日據時期的文官宿舍，１９５３年成為臺灣現代舞之母蔡瑞月的家、編舞及創作練舞教室，後來演變成舞蹈的教室。１９９９年經古蹟學者專家一致認定為此地為臺灣現代舞紮根之地，故共同堅決重建。,臺北市中山區中山北路2段48巷10號,無,不開放,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00,10:00 – 17:00
中山,宗教與古蹟,光點臺北,"臺北市文化局委託臺灣電影文化協會經營，成為以電影文化為主的「臺北之家」。
透過影展、講座、工作坊等各種活動，讓跨領域的意見得以交流，進而激發更多創意。",臺北市中山區中山北路2段18號,無,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00
中山,休閒與生態,榮星花園公園,公園除提供民眾拍攝婚紗的九重葛花廊、?公圳自然濕地生態池等優質的遊憩及活動空間。近年因為對生態的重視，在生態池復育螢火蟲，並持續進行生態調查及規劃環境改善方式。目前已有穩定的螢火蟲族群。,臺北市中山區民權東路三段1號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
中山,休閒與生態,大佳河濱公園,大佳河濱公園位於中山區中山橋和大直橋之間，是基隆河截彎取直後，經市政府開發建設而成的都會型綠化公園。面積廣大，進入園區映入眼簾的就是一大片一望無際的廣闊草園，還可以遙望美麗華的摩天輪，景色優美。,臺北市中山區基隆河中山橋和大直橋之間,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
中山,休閒與生態,花博公園,花博公園為２０１０臺北國際花卉博覽會會場，目前轉型為都市公園。園區包含圓山園區、美術園區與新生園區，規劃作為一般的公園使用，並利用原花博展覽館，提供各項活動場地使用。,臺北市中山區玉門街1號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
中山,休閒與生態,美堤碼頭,美堤碼頭延伸了藍色公路航線至內湖地區，讓基隆河從點而線成為一條與美麗華商圈相結合的水上旅遊帶。碼頭所在的美堤河濱公園視野遼闊，可遠觀北市地標１０１大樓與松山機場的飛機起降，也是市民親近河岸或騎自行車運動的良好去處。,臺北市中山區基隆河基16號水門,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
中山,休閒與生態,臺北典藏植物園,新生園區臺北典藏植物園為國內少見結合了鑽石級綠建築及國內頂尖園藝專家的智慧，以人類、植物與環境為主軸，將臺灣各地的植物依不同的氣候與地域，描繪出臺灣生態環境縮影，打造出全臺僅有一座單位面積展示種類最多的展覽型植物溫室。,臺北市中山區濱江街16號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
中山,商圈,雙城街夜市,雙城街夜市幾乎都是老字號的攤位，賣了３０多年的小吃比比皆是。夜市的規模雖然不大，整齊劃一的橘紅色招牌，井然有序，成為臺北市第一個區域性示範夜市 。,臺北市中山區雙城街(農安街至雙城街13巷間),無,17:00 – 00:00,17:00 – 00:00,17:00 – 00:00,17:00 – 00:00,17:00 – 00:00,17:00 – 00:00,17:00 – 00:00
中山,商圈,遼寧街夜市,早期因福聚宮的廟會活動帶來相當多的人潮， 進而吸引許多攤販聚集，漸漸形成夜市，而現在遼寧街夜市是一個以餐飲為主的小型夜市，大部分都是三、四十年以上的老字號小吃。,臺北市中山區遼寧街(位於長安東路與朱崙街間),無,16:00 – 02:00,16:00 – 02:00,16:00 – 02:00,16:00 – 02:00,16:00 – 02:00,16:00 – 02:00,16:00 – 02:00
中山,商圈,捷運中山地下書街,位於捷運中山站及雙連站間的中山地下書街，提供愛書人更明亮、舒適、豐富的閱覽及購書休閒環境。另外，於臺北車站至中山站間之地下街上方線型公園，具有４項公共藝術作品。,臺北市中山區南京西路16號Ｂ1(捷運中山站至雙連站間),無,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00
中山,商圈,臺北魚市,臺北漁產運銷公司積極於民族魚市場進行場地活化，轉型為觀光魚市場，並與上引水產公司合作經營，提供新鮮食材。此外，魚市內海產餐廳，提供各式鍋物及熟食與燒烤佳餚，只要前來臺北魚市，就能夠經歷一趟豐富愜意的海鮮饗宴。,臺北市中山區民族東路410巷2弄20號,無,06:00 – 00:00,06:00 – 00:00,06:00 – 00:00,06:00 – 00:00,06:00 – 00:00,06:00 – 00:00,06:00 – 00:00
中山,商圈,四平陽光商圈,"四平陽光商圈整條街道為徒步區，有舒適的購物環境，設置有露天咖啡座，提供民眾歇息之用。另外在此有著繪畫、音樂演奏、臺灣傳統布偶戲表演、街頭藝人表演等活動，不定期舉辦。
以「陽光、女人、四平街」的行銷口號還有許多特色商家。",臺北市中山區四平街,無,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30
中山,商圈,美麗華百樂園,"購物中心分本館與漾館，為一座國際級娛樂休閒購物設施，各樓層規劃特色專櫃、餐廳，更有全臺首創的百米摩天輪。
美麗華大直影城擁有大型銀幕，高度環繞音效，創造身歷其境的臨場感，能提供特別的視覺享受。",臺北市中山區敬業三路20號,無,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00
中山,藝文與文化,台北故事館,台北故事館，為仿英國都鐸時期的半木構造建築，是台灣罕見的建築形式。目前以食、衣、住、行、娛樂為主軸，策劃相關主題展覽及藝文活動、推廣茶文化，持續在「台北故事館」說故事。,臺北市中山區中山北路三段181之1號,無,不開放,10:00 – 17:30,10:00 – 17:30,10:00 – 17:30,10:00 – 17:30,10:00 – 17:30,10:00 – 17:30
中山,藝文與文化,家畫廊,家畫廊成立於１９９０年，王賜勇本以「輝煌時代」之名在東區辦畫廊，後將畫廊遷至現址，改名為「家畫廊」，有家的溫馨感覺。這兒收藏甚豐，主要收藏畫家有潘玉良、常玉、余承堯、朱沅芷等人的作品。,臺北市中山區中山北路三段30-1 號,無,不開放,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,11:00 – 18:00,不開放
中山,藝文與文化,原民生活美學館,原民風味館配合美術園區藝文廊帶的規劃，用嶄新的面貌在藝術品呈現上更上一層樓，藉由更專業的策展團隊讓大家可以更貼近地看見原住民藝術家的作品，已經具備與國際接軌的能量。,臺北市中山區中山北路三段151號,無,不開放,11:00 – 19:00,11:00 – 19:00,11:00 – 19:00,11:00 – 19:00,11:00 – 19:00,11:00 – 19:00
中山,藝文與文化,臺北市立美術館,臺灣首座現代美術館，空間與 展品的規劃新潮活潑，結合民眾生活與美術賞析。除了展覽，館方不定期舉辦研討及假日親子活動，製 造美術館與民眾互動的機會，更拉近藝術與生活的距離。,臺北市中山區中山北路3段181號,30,不開放,09:30 – 17:30,09:30 – 17:30,09:30 – 17:30,09:30 – 17:30,09:30 – 20:30,09:30 – 17:30
中山,藝文與文化,袖珍博物館,袖珍博物館尋訪世界各地網羅一流袖珍藝術大師作品，擁有排名世界級的收藏規模，包羅萬象的袖珍精品經過組合佈置後，主題作品目前展出約兩百餘件，,臺北市中山區建國北路1段 96 號 Ｂ1,200,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00
中山,藝文與文化,樹火紀念紙博物館,長春棉紙廠創辦人陳樹火先生經數１０年來的紮根經營，有感於「紙孕育於中國文化卻未能在現代發揚的遺憾」，遂發願創設紙博物館。經５年籌備，樹火紀念紙博物館於１９９５年１０月正式對外開放。,臺北市中山區長安東路二段68號,100,09:30 – 16:30,09:30 – 16:30,09:30 – 16:30,09:30 – 16:30,09:30 – 16:30,09:30 – 16:30,09:30 – 16:30
中山,藝文與文化,光點臺北,"臺北市文化局委託臺灣電影文化協會經營，成為以電影文化為主的「臺北之家」。
透過影展、講座、工作坊等各種活動，讓跨領域的意見得以交流，進而激發更多創意。",臺北市中山區中山北路2段18號,無,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00,11:00 – 22:00
松山,宗教與古蹟,松山國小,創立於西元１８９８年７月，是松山區最早成立的學校。松山國小共有３株百年老樹，其中１株是松山國小創建時自己種植，學生都叫它為「莿桐奶奶」；另２株是昔日之松山派出所移植至此也有百年歷史，分別被命名為「不老仙」及「萬壽翁」。,臺北市松山區八德路4段746號,無,電話預約,電話預約,電話預約,電話預約,電話預約,電話預約,電話預約
松山,宗教與古蹟,松山教會（錫口教會）,建立於１８７５年，錫口禮拜堂又稱賠償教會，清法戰爭發生後，錫口人誤以為教會是法國人蓋的而把其毀掉，經抗議清政府拿出１萬兩來賠償。錫口教會的尖塔，被當時的居民，視為錫口街的地標，直到１９７５ 年才建成今日的建築。,臺北市松山區饒河街105號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
松山,宗教與古蹟,松山霞海城隍廟,相傳清末一位同安縣下店鄉海邊厝人，渡海來臺時攜該鄉城隍之分靈，擇於錫口安身，祈者求多有應，善男信女日多，後來這位「唐山人」逝世，他的太太決定將神像獻給街民，大家感其誠，募資於西元 １９０８年左右建造這１座霞海城隍廟。,臺北市松山區八德路4段439號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
松山,宗教與古蹟,松山市場,松山市場係因水運而商業活動興盛，自清代起逐漸形成市集，直至１９０９年興建松山市場延續至今，已達百年之久，深具歷史意義。建物仍保有原有形貌，檜木桁架及洗石子外牆保存狀況尚佳，具保存價值。,台北市松山區八德路四段679號,無,不開放,07:00 – 16:00,07:00 – 16:00,07:00 – 16:00,07:00 – 16:00,07:00 – 16:00,07:00 – 16:00
松山,宗教與古蹟,松山慈祐宮,慈祐宮興建於１７５３年，距今已有兩百多年的歷史，主要信奉的是黑面媽祖。本宮內三川殿的石獅，由於呈現的是「雄獅張嘴、母獅閉嘴」的傳統，在臺灣十分少見，因此也成了鎮殿之寶。,臺北市松山區八德路4段761號,無,05:00 – 22:30,05:00 – 22:30,05:00 – 22:30,05:00 – 22:30,05:00 – 22:30,05:00 – 22:30,05:00 – 22:30
松山,宗教與古蹟,一號糧倉,將台北市的第一座糧倉「一號糧倉」，歷，經規劃設計，以糧倉的故事出發，加強農產業與飲食文化鏈結的使命，開創出「樂埔?農」品牌，讓一號糧倉能?集優秀的農人與農產。,台北市松山區八德路二段346巷3弄2號,無,不開放,11:30 – 14:30；18:00 – 22:00,11:30 – 14:30；18:00 – 22:00,11:30 – 14:30；18:00 – 22:00,11:30 – 14:30；18:00 – 22:00,11:30 – 14:30;18:00 – 22:00,11:30 – 14:30；18:00 – 22:00
松山,休閒與生態,臺北松山機場觀景台,觀景台植栽美化，另外特別選用西班牙設計大師Ａｌｅｘａｎｄｅｒ Ｌｏｔｅｒｓｚｔａｉｎ設計的發光戶外座椅，提供晝夜不同的景觀體驗。在入口廣場西側還規劃有戶外輕食區，供民眾休憩飲食。觀景台為免費開放，可成為民眾休閒新選擇。,臺北市松山區敦化北路340之9號,無,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00
松山,休閒與生態,錫口(彩虹)碼頭,松山地區於乾隆年間，古名為「錫口」。位於松河街四號水門處之錫口渡口，自古為南北通商、貨物集散之地，曾繁華鼎盛為松山地區錫口文化發展精華之起始港口。錫口碼頭鄰近彩虹橋等特色景點，晚上更提供絕美夜景。,臺北市松山區基隆河左岸成美河濱公園內(松河街旁4號水門進入),無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
松山,休閒與生態,臺北小巨蛋冰上樂園,臺北小巨蛋副館常年結冰，為國際標準滑冰場，配置冰上曲棍球、競速滑冰相關器材設施，平日對外開放(冰上樂園)供一般市民參與滑冰運動，並開設各式教育訓練課程。臺北小巨蛋館內提供觀眾舒適的餐飲空間及休閒環境。,臺北市松山區南京東路4段2號,220,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00,10:00 – 21:00
松山,休閒與生態,ＢａｂyＢoss職業體驗任意城,『ＢａｂｙＢｏｓｓ職業體驗任意城』提供小朋友體驗各類職業。城市內近５０種行業及７０個職業角色，讓小朋友實際操作演練，體驗各個職業角色的工作精神，並賺取『ＢａｂｙＢｕｃｋｓ』酬勞，學習真實社會的運作。,臺北市松山區八德路四段138號京華城購物中心7樓,900,10:00 – 20:00,10:00 – 20:00,10:00 – 20:00,10:00 – 20:00,10:00 – 20:00,10:00 – 20:00,10:00 – 20:00
松山,休閒與生態,迎風河濱公園,迎風河濱公園內設有溜冰場、壘球場、足球場、迷你高爾夫練習場等，是一設備齊全的運動公園。園內更有全臺首座「免繫犬鏈」的狗運動公園，分為大狗和小狗區，設置不鏽鋼圍欄、雙層門作為人犬防護措施，設備相當齊全。,臺北市松山區濱江街7號水門,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
